name,price,delivery_time,url
"Fresh Onion, 1kg",₹29.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Potato, 1kg",₹41.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Coriander, 100 Gm - Leaves",₹14.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Tomato Hybrid, 1kg",₹54.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Bhendi (Lady Finger), 500g",₹42.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Cucumber, 500g",₹31.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Bottle Gourd (Doodhi) - 1 Piece (500gm-800gm),₹33.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Water Melon - Kiran, 1 pc (2 kg)",₹61.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Mango, Badami/Safeda, 1 Kg (4-5…",₹129.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Indian Cherry, 250g",₹129.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
