name,price,delivery_time,product_url
"Fortune Sunlite Refined Sunflower Oil, 870 gm Pou…",₹150.00,4.4,https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00NYZTGEO&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_1_og_d0_i
"Fortune Refined Soybean Oil, 870gm Pouch (Weight May…",₹136.00,4.4,https://www.amazon.in/Fortune-Soyabean-Oil-1L-Pouch/dp/B00TX50T4K?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00TX50T4K&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_2_og_d0_i
Fortune Pehli Dhaar First Pressed Kachi Ghani Must…,₹205.00,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ2ODQxODIzMTQzMjowOjA6Og==&url=%2FFortune-Pehli-Dhaar-Pressed-Mustard%2Fdp%2FB0D45H471Q%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB0D45H471Q%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_3_sp_d25_i
Fortune Xpert Pro Immunity Oil | Blend of Rice Bran Oil…,₹159.00,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ5MDk0MzA0MDUzMjoxOjE6Og==&url=%2FFortune-Xpert-Pro-Immunity-Pouch%2Fdp%2FB08X7HWQJM%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB08X7HWQJM%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_4_sp_d10_i
Natureland Organics Sunflower Oil 1 Ltr - Cold P…,₹350.00,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjIwMDc3NjMzODI1OTA4OjI6Mjo6&url=%2FNatureland-Organics-Sunflower-LTR-Pressed%2Fdp%2FB07B9VMHB8%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB07B9VMHB8%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_5_sp_d50_i
"Fortune Premium Kachi Ghani Pure Mustard Oil, 1 l…",₹175.00,4.4,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B06XH9QPX2?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B06XH9QPX2&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_6_og_dN_i
"Fortune Rice Bran Health Oil, Cooking Oil for Healthier H…",₹149.00,4.4,https://www.amazon.in/Fortune-Rice-Bran-Health-1L/dp/B00NYZU698?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00NYZU698&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_7_og_dN_i
Saffola Active Refined Cooking oil | Rich in Omeg…,₹157.00,4.4,https://www.amazon.in/Saffola-Refined-Oryzanol-Multi-Source-SoyaBean/dp/B00NYZTUVS?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00NYZTUVS&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_8_og_dN_i
Emami Healthy & Tasty Physically Refined Rice Br…,₹144.00,4.4,https://www.amazon.in/Emami-Healthy-Tasty-Refined-Pouch/dp/B074N7X8XV?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B074N7X8XV&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_9_og_dN_i
"Dhara Filtered Groundnut Oil (0% Trans Fat), 1 L Pouch",₹181.00,4.4,https://www.amazon.in/Dhara-Groundnut-Oil-Pouch-1L/dp/B01N174GH7?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B01N174GH7&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_10_og_dN_i
