name,price,delivery_time,product_url
"Fortune Sunlite Refined Sunflower Oil, 870 gm Pou…",₹150.00,,https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO?pd_rd_w=nHn9b&content-id=amzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_p=ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B00NYZTGEO&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_1_og_d_i
"Fortune Rice Bran Health Oil, Cooking Oil for Healthier H…",₹149.00,,https://www.amazon.in/Fortune-Rice-Bran-Health-1L/dp/B00NYZU698?pd_rd_w=nHn9b&content-id=amzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_p=ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B00NYZU698&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_2_og_d_i
Fortune Xpert Pro Immunity Oil | Blend of Rice Bran Oil…,₹159.00,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzQ1MDkwODgxMTUxMDg2OjE3NTAyNDE0Mjc6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ5MDk0MzA0MDUzMjowOjA6Og==&url=%2FFortune-Xpert-Pro-Immunity-Pouch%2Fdp%2FB08X7HWQJM%3Fpsc%3D1%26pd_rd_w%3DnHn9b%26content-id%3Damzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_p%3Dddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_r%3DWRRFQYYQV1323WS4KR3Y%26pd_rd_wg%3DML4hu%26pd_rd_r%3D04dadd8c-9f92-4d78-9f1e-a9fc39c291bf%26pd_rd_i%3DB08X7HWQJM%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_3_sp_d_i
"Dhara Filtered Groundnut Oil (0% Trans Fat), 1 L Pouch",₹177.00,,https://www.amazon.in/Dhara-Groundnut-Oil-Pouch-1L/dp/B01N174GH7?pd_rd_w=nHn9b&content-id=amzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_p=ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B01N174GH7&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_4_og_d_i
Conscious Food Cold Pressed Sunflower Oil | 1 lit…,₹380.00,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzQ1MDkwODgxMTUxMDg2OjE3NTAyNDE0Mjc6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjIwMDQxODY1NzIzNzk4OjE6MTo6&url=%2FConscious-Food-Sunflower-Antioxidants-Delicious%2Fdp%2FB09G74FX83%3Fpsc%3D1%26pd_rd_w%3DnHn9b%26content-id%3Damzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_p%3Dddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_r%3DWRRFQYYQV1323WS4KR3Y%26pd_rd_wg%3DML4hu%26pd_rd_r%3D04dadd8c-9f92-4d78-9f1e-a9fc39c291bf%26pd_rd_i%3DB09G74FX83%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_5__i
"Sundrop Superlite Advanced Sunflower Oil, 1L (Pack of…",₹420.00,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzQ1MDkwODgxMTUxMDg2OjE3NTAyNDE0Mjc6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDU5NTIwNDE2NTgzMjoyOjI6Og==&url=%2FSundrop-Superlite-Advanced-Sunflower-Super%2Fdp%2FB075MK6TBV%3Fpsc%3D1%26pd_rd_w%3DnHn9b%26content-id%3Damzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_p%3Dddfc7436-8bf3-457c-9da4-13b53a7eca44%26pf_rd_r%3DWRRFQYYQV1323WS4KR3Y%26pd_rd_wg%3DML4hu%26pd_rd_r%3D04dadd8c-9f92-4d78-9f1e-a9fc39c291bf%26pd_rd_i%3DB075MK6TBV%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_6_sp_d_i
Saffola Gold Refined Cooking oil | Power of 3 - Balance of…,₹183.00,,https://www.amazon.in/Saffola-Healthy-Lifestyle-Edible-Pouch/dp/B00L13WLFW?pd_rd_w=nHn9b&content-id=amzn1.sym.ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_p=ddfc7436-8bf3-457c-9da4-13b53a7eca44&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B00L13WLFW&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859687031_hxwGS_sspa_dk_detail_2_7_og_d_i
Gowardhan Pure Cow Ghee Jar 500 Ml,₹381.00,,https://www.amazon.in/Gowardhan-Ghee-Jar-500ml/dp/B01LY9YQHO?pd_rd_w=CXD9Z&content-id=amzn1.sym.753181ba-2966-44f1-a7b2-1763a4b67d90&pf_rd_p=753181ba-2966-44f1-a7b2-1763a4b67d90&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B01LY9YQHO&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859605031_hxwGS_sspa_dk_detail_3_1_og_d_i
Gowardhan Pure Cow Ghee Jar 1 Litre,₹733.00,,https://www.amazon.in/Gowardhan-Ghee-Jar-1L/dp/B01L1QNQEI?pd_rd_w=CXD9Z&content-id=amzn1.sym.753181ba-2966-44f1-a7b2-1763a4b67d90&pf_rd_p=753181ba-2966-44f1-a7b2-1763a4b67d90&pf_rd_r=WRRFQYYQV1323WS4KR3Y&pd_rd_wg=ML4hu&pd_rd_r=04dadd8c-9f92-4d78-9f1e-a9fc39c291bf&pd_rd_i=B01L1QNQEI&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_4859605031_hxwGS_sspa_dk_detail_3_2_og_d_i
Gowardhan Ghee Festival Pack With Lock & Seal Con…,"₹1,527.75",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjk2MzkyMzQyMzIyMzI3OjE3NTAyNDE0Mjc6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDU3NTA1MDI4MDczMjowOjA6Og==&url=%2FGowardhan-Ghee-Festival-Pack-Container%2Fdp%2FB08CSD24T9%3Fpsc%3D1%26pd_rd_w%3DCXD9Z%26content-id%3Damzn1.sym.753181ba-2966-44f1-a7b2-1763a4b67d90%26pf_rd_p%3D753181ba-2966-44f1-a7b2-1763a4b67d90%26pf_rd_r%3DWRRFQYYQV1323WS4KR3Y%26pd_rd_wg%3DML4hu%26pd_rd_r%3D04dadd8c-9f92-4d78-9f1e-a9fc39c291bf%26pd_rd_i%3DB08CSD24T9%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_4859605031_hxwGS_sspa_dk_detail_3_3_sp_d_i
