name,price,delivery_time,product_url
"Fortune Sunlite Refined Sunflower Oil, 870 gm Pou…",₹150.00,4.4,https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B00NYZTGEO&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_1_og_d0_i
"Fortune Premium Kachi Ghani Pure Mustard Oil, 91…",₹190.00,4.4,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0757631XR?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B0757631XR&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_2_og_d0_i
Fortune Pehli Dhaar First Pressed Kachi Ghani Must…,₹205.00,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzM0ODU1NjY3MDQ3MzE1OjE3NTAyNDEwMjk6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ2ODQxODIzMTQzMjowOjA6Og==&url=%2FFortune-Pehli-Dhaar-Pressed-Mustard%2Fdp%2FB0D45H471Q%3Fpsc%3D1%26pd_rd_w%3DJ01G0%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3DCDS18GCSBKPBC22FST7D%26pd_rd_wg%3DDcdFN%26pd_rd_r%3Ddda5d710-ecf1-4d7f-bf06-5ae024692697%26pd_rd_i%3DB0D45H471Q%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_3_sp_d30_i
Jivo Cold Pressed Chemical-Free Sunflower Oil - 5 Litre…,₹854.00,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzM0ODU1NjY3MDQ3MzE1OjE3NTAyNDEwMjk6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDE2MDUyNjg5OTYzMjoxOjE6Og==&url=%2FJivo-Pressed-Chemical-Sunflower-Litre%2Fdp%2FB0991VMDB1%3Fpsc%3D1%26pd_rd_w%3DJ01G0%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3DCDS18GCSBKPBC22FST7D%26pd_rd_wg%3DDcdFN%26pd_rd_r%3Ddda5d710-ecf1-4d7f-bf06-5ae024692697%26pd_rd_i%3DB0991VMDB1%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_4_sp_d85_i
Fortune Xpert Pro Immunity Oil | Blend of Rice Bran Oil…,₹159.00,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzM0ODU1NjY3MDQ3MzE1OjE3NTAyNDEwMjk6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ5MDk0MzA0MDUzMjoyOjI6Og==&url=%2FFortune-Xpert-Pro-Immunity-Pouch%2Fdp%2FB08X7HWQJM%3Fpsc%3D1%26pd_rd_w%3DJ01G0%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3DCDS18GCSBKPBC22FST7D%26pd_rd_wg%3DDcdFN%26pd_rd_r%3Ddda5d710-ecf1-4d7f-bf06-5ae024692697%26pd_rd_i%3DB08X7HWQJM%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_5_sp_d10_i
"Fortune Premium Kachi Ghani Pure Mustard Oil, 1 l…",₹175.00,4.4,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B06XH9QPX2?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B06XH9QPX2&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_6_og_dN_i
"Fortune Refined Soybean Oil, 870gm Pouch (Weight May…",₹136.00,4.4,https://www.amazon.in/Fortune-Soyabean-Oil-1L-Pouch/dp/B00TX50T4K?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B00TX50T4K&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_7_og_dN_i
"Fortune Rice Bran Health Oil, Cooking Oil for Healthier H…",₹149.00,4.4,https://www.amazon.in/Fortune-Rice-Bran-Health-1L/dp/B00NYZU698?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B00NYZU698&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_8_og_dN_i
Tata Simply Better Pure & Unrefined Cold Pressed M…,₹246.00,4.5,https://www.amazon.in/Tata-Simply-Better-Cholesterol-Multipurpose/dp/B0C81GZF1H?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B0C81GZF1H&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_9_og_dN_i
Emami Healthy & Tasty Physically Refined Rice Br…,₹144.00,4.4,https://www.amazon.in/Emami-Healthy-Tasty-Refined-Pouch/dp/B074N7X8XV?pd_rd_w=J01G0&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=CDS18GCSBKPBC22FST7D&pd_rd_wg=DcdFN&pd_rd_r=dda5d710-ecf1-4d7f-bf06-5ae024692697&pd_rd_i=B074N7X8XV&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_10_og_dN_i
