name,price,delivery_time,product_url
"Happi Planet | Tap Cleaner & Limescale Remover | India’s 1st Foaming Formulation for Reduced Scrubbing Effort, Non-Toxic | 500ml | All Purpose Cleaner Suitable for Bathroom, Tap, Shower, Tiles, Mirror",₹200,"FREE delivery Thu, 3 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Happi-Planet-Limescale-Formulation-Scrubbing/dp/B0DG64CL4M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&rdc=1&s=hpc&sr=1-1
"Surf Excel Matic Top Load Liquid Detergent 4L Refill Pouch, Specially designed to remove Tough Dried Stains, 1st time in Washing Machine",₹491,FREE delivery starting from Today 5 pm - 7 pm on orders over ₹499,https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0CKW4VGLK/ref=sr_1_2_f3_0h_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=1-2
Surf Excel Easy Wash Detergent Powder7 kg | Superfine Washing Powder | Dissolves Easily & Removes Tough Stains | Suitable for all Washing Machines,₹686,"FREE delivery Thu, 3 Jul
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Surf-Excel-Detergent-Superfine-Dissolves/dp/B0D7GQNL6B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-3
"Comfort Morning Fresh Fabric Conditioner 2 L Refill Pack, After Wash Liquid Fabric Softener - For Softness, Shine & Long Lasting Freshness",₹361,"FREE delivery Mon, 7 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Comfort-After-Morning-Fabric-Conditioner/dp/B07F8H9NYY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-4
"Surf Excel Matic Front Load Liquid Detergent 4L Refill Pouch, Designed for Tough Stain Removal on Laundry in Washing Machines - Mega Saver Pack",₹587,"FREE delivery Thu, 3 Jul
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Surf-Excel-Detergent-Designed-Machines/dp/B0CKW6NVND/ref=sr_1_5?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-5
"Happi Planet | Kitchen Cleaner | India’s 1st Foaming Formulation for Less Scrubbing | 500ml | Suitable for Stoves, Chimneys, Counter Tops, Appliances, Walls & Cabinets | Non Toxic & Natural",₹200,"FREE delivery Sat, 5 Jul on first order",https://www.amazon.in/Happi-Planet-Formulation-Scrubbing-Appliances/dp/B0DSVQVF98/ref=sr_1_6?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&rdc=1&s=hpc&sr=1-6
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L (Pack of 2) | India's # 1 Toilet Cleaner",₹391,"FREE delivery Thu, 3 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Harpic-Original-Powerplus-Pack/dp/B016D3J92M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-7
Godrej aer Power Pocket Bathroom Freshener – Assorted Pack of 5 (50g)| Lasts up to 30 days | Germ Protection,₹253,"FREE delivery Thu, 3 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Godrej-aer-Bathroom-Fragrance-Assorted/dp/B078CRB5WY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-8
Vim Fresh Lemon Fragrance Dishwash Liquid Gel 2L Refill Pack|| Leaves No Residue|| Grease Cleaner For Utensils - Liquid Kitchen Soap Super Saver Offer,₹298,"FREE delivery Thu, 3 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/VIM-Dishwash-Liquid-Lemon-Refill/dp/B08CNMBJZ7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-9
Presto! 2 Ply Kitchen Tissue/Towel Paper Roll - 6 Rolls (60 Pulls Per Roll),₹323,"FREE delivery Mon, 7 Jul on first order
Or fastest delivery Tomorrow, 2 Jul",https://www.amazon.in/Amazon-Brand-Presto-Kitchen-Tissue/dp/B07GVVCQY6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.grY2_mxU7nPXOYBu0bMTcFtbVarWpqLovHnI8oe7kNsvR0uU47jTfnAkUDsA1F6hoIr9eim5QbCj8UFbtUeLavf6wDX6_hHPteaN-6cXrqiCukqGYlJQgb-LH4OWdRUHYgbbzIQ5o12vg0rakL_CNk6IAPAitHzpFJWj2UZq6baoTKt1JwXwLvRn533n3yAYCi6AUtDHs_cUuVDCg1PSpV9TNQF-lRVqCuWwm5WWqKyvwJhvODbdqRhcrHv8A7qNOK-3BCwTgr9gKXGf2DGoDcYF6zmJL7gITz6BGTPphDU.bYZviYVJveVdk73v-DEfcybY7vTasGg4sUqbI4YZB1M&dib_tag=se&qid=1751356646&s=hpc&sr=1-10
