name,price,url
Pluckk Baby Corn Peeled,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Button Mushroom (Anabe),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Jalapeno,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Mango Ginger,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Sweet Corn (Sihi Mekkejola),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Cherry Tomato,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Red Bell Pepper,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Pink Oyster Mushroom,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Asparagus (Shatavari),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Baby Corn Peeled,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Green Zucchini,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Iceberg Lettuce,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Lemon Kaji (Nimbhehannu),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Snibs Snack Peppers,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Rocket Leaves (Arugula),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Lotus Stem (Kamalada Kanda),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Lemon Seedless,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Banana Flower (Baale Hoovu),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
"No Roots, Cleaned Celery",Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Baby Bokchoy,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
"Basil (Cleaned, No Roots)",Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Brussel Sprouts,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Kale Leaf,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Broccoli,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Red Cabbage (Kempu Yelekosu),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Green Lettuce,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Capsicum Tricolour,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Banana Stem (Baale Dindu),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Oyster Mushroom Fresh,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Peeled Sweet Corn by Urban Harvest,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Indian Pennywort (Ondelaga),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Bird's Eye Chilli (Menasinakaayi),Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Romaine Lettuce,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
"Parsley (Cleaned, No Roots)",Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Yellow Bell Pepper,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
Yellow Zucchini,Not Found,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=6822eeeded32000001e25aa4&filterName=&offset=0&showAgeConsent=false&storeId=1382964&taxonomyType=Speciality+taxonomy+1
